Last,First,Filename,Day,Type,Convention,Source,URL
Lee,Barbara,dnc.leebarbara.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-barbara-lee-168563356.html
Velazquez,Nydia,dnc.velazquez.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-nydia-m-velazquez-member-of-the-us-house-of-representatives-new-york-168563526.html
Kennedy,Claudia,dnc.kennedyclaudia.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-lieutenant-general-claudia-kennedy-retired-first-woman-to-reach-rank-of-three-star-general-in-the-us-army-168563536.html
Quinn,Pat,dnc.quinn.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-pat-quinn-governor-of-illinois-168563506.html
Omalley,Martin,dnc.omalley.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-martin-omalley-governor-of-maryland-168563696.html
Germond,Alice,dnc.germond.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-alice-germond-secretary-of-the-democratic-national-committee-168563706.html
Patrick,Deval,dnc.patrick.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-deval-patrick-governor-of-massachusetts-168563786.html
Strickland,Ted,dnc.strickland.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-ted-strickland-former-governor-of-ohio-168563836.html
Penn,Kal,dnc.penn.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-kal-penn-actorproducer-former-associate-director-of-the-white-house-office-of-public-engagement-168563886.html
Wexler,Robert,dnc.wexler.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-robert-wexler-168568256.html
Polis,Jared,dnc.polis.txt,Tuesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-jared-polis-member-of-the-us-house-of-representatives-colorado-168563876.html
Duncan,Arne,dnc.duncanarne.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-arne-duncan-us-secretary-of-education-168711956.html
Logan,Austin,dnc.logan.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-austin-ligon-co-founder-and-former-ceo-of-carmax-inc-168712116.html
Mills,Karen,dnc.millskaren.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-karen-mills-administrator-of-the-us-small-business-administration-168712566.html
Hewitt,Cindy,dnc.hewitt.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-cindy-hewitt-former-employee-at-a-company-controlled-by-romneys-bain-capital-168712556.html
