Last,First,Filename,Day,Type,Source,Convention
Franken,Al,dnc.franken.txt,Monday,speech,Cision,DNC
Daughtry,Leah,dnc.daughtry.txt,Monday,speech,Cision,DNC
Casey,Bob,dnc.casey.txt,Monday,speech,Cision,DNC
Gillibrand,Kirsten,dnc.gillibrand.txt,Monday,speech,Cision,DNC
Silverman,Sarah,dnc.silverman.txt,Monday,speech,Cision,DNC
Warren,Elizabeth,dnc.warren.txt,Monday,speech,Cision,DNC
Sanders,Bernie,dnc.sanders.txt,Monday,speech,Cision,DNC
Obama,Michelle,dnc.obamamichelle.txt,Monday,speech,Washington Post,DNC
Silva,Astrid,dnc.silva.txt,Monday,speech,Fandom,DNC
Harkin,Tom,dnc.harkin.txt,Tuesday,speech,Cision,DNC
Grimes,Alison,dnc.grimes.txt,Tuesday,speech,Cision,DNC
Clinton,Bill,dnc.clintonbill.txt,Tuesday,speech,CNN,DNC
Albright,Madeleine,dnc.albright.txt,Tuesday,speech,Cision,DNC
Jackson,Sherman,dnc.jacksonsherman.txt,Tuesday,speech,Cision,DNC
Mikulski,Barbara,dnc.mikulski.txt,Tuesday,speech,Cision,DNC
Lewis,John,dnc.lewis.txt,Tuesday,speech,Cision,DNC
Amaru,Na'liah,dnc.amaru.txt,Tuesday,speech,Cision,DNC
McAuliffe,Terry,dnc.mcauliffe.txt,Tuesday,speech,Cision,DNC
Gabbard,Tulsi,dnc.gabbard.txt,Tuesday,speech,Cision,DNC
Women,House,dnc.housewomen.txt,Tuesday,speech,Cision,DNC
Carter,Jason,dnc.carterjason.txt,Tuesday,speech,Cision,DNC
Schumer,Chuck,dnc.schumer.txt,Tuesday,speech,Cision,DNC
Banks,Elizabeth,dnc.banks.txt,Tuesday,speech,Cision,DNC
Desmond,haddeus,dnc.desmond.txt,Tuesday,speech,Cision,DNC
Moore,Anton,dnc.moore.txt,Tuesday,speech,Cision,DNC
Haubert,Dynah,dnc.haubert.txt,Tuesday,speech,Cision,DNC
Burdick,Kate,dnc.burdick.txt,Tuesday,speech,Cision,DNC
Parson,Dustin,dnc.parson.txt,Tuesday,speech,Cision,DNC
Mellott,Danielle,dnc.mellott.txt,Tuesday,speech,Cision,DNC
Freeman,Jelani,dnc.freeman.txt,Tuesday,speech,Cision,DNC
Feeney,Paul,dnc.feeney.txt,Tuesday,speech,Cision,DNC
Nelson,Shyla,dnc.nelsonshyla.txt,Tuesday,speech,Cision,DNC
Brazile,Donna,dnc.brazile.txt,Tuesday,speech,Cision,DNC
Banks,David,dnc.banksdavid.txt,Tuesday,speech,Cision,DNC
Holder,Eric,dnc.holder.txt,Tuesday,speech,Cision,DNC
Goldwyn,Tony,dnc.goldwyn.txt,Tuesday,speech,Cision,DNC
Movement,Mothers,dnc.movement.txt,Tuesday,speech,Cision,DNC
Richards,Cecile,dnc.richards.txt,Tuesday,speech,Cision,DNC
Benjamin,Steve,dnc.benjamin.txt,Tuesday,speech,Cision,DNC
Boxer,Barbara,dnc.boxer.txt,Tuesday,speech,Cision,DNC
Messing,Debra,dnc.messing.txt,Tuesday,speech,Cision,DNC
Sweeney,Joe,dnc.sweeney.txt,Tuesday,speech,Cision,DNC
Manning,Lauren,dnc.manning.txt,Tuesday,speech,Cision,DNC
McLay,Cameron,dnc.mclay.txt,Tuesday,speech,Cision,DNC
Crowley,Joe,dnc.crowley.txt,Tuesday,speech,Cision,DNC
Alexander,Erika,dnc.alexander.txt,Tuesday,speech,Cision,DNC
Moore,Ryan,dnc.mooreryan.txt,Tuesday,speech,Cision,DNC
Fererra,America,dnc.fererra.txt,Tuesday,speech,Cision,DNC
Dean,Howard,dnc.deanhoward.txt,Tuesday,speech,Cision,DNC
Klobuchar,Amy,dnc.klobuchar.txt,Tuesday,speech,Cision,DNC
Matul,Ima,dnc.matul.txt,Tuesday,speech,Cision,DNC
Campolo,Tony,dnc.campolo.txt,Tuesday,benediction,cision,DNC
Kaine,Tim,dnc.kaine.txt,Wednesday,speech,Time,DNC
Bloomberg,Michael,dnc.bloomberg.txt,Wednesday,speech,Vox,DNC
Biden,Joe,dnc.biden.txt,Wednesday,speech,Vox,DNC
