Speaker 1:                                             Joe Biden picking up not one but three endorsements from his former opponents.

Speaker 2:                                             I will be casting my ballot for Joe Biden.

Speaker 3:                                             We have found that leader in Vice President soon to be President Joe Biden.

Speaker 4:                                             The Democrats really seemed to unify last night here in Dallas and do it behind Joe Biden.

Speaker 5:                                             It is up to us to heal this country. I am ending my campaign and endorsing Joe Biden for president.

Speaker 6:                                             The vice president gained the support of two more former rivals, Senators Kamala Harris and Cory Booker.

Kamala Harris:                                         He is a public servant. He has also worked for the best of who we are as a nation.

Kamala Harris:                                         We will elect Joe Biden as the next President of the United States.

Cory Booker:                                           I'm on Team Joe, I'm ridin' with Biden.

Cory Booker:                                           I am so proud to be on Joe's team because Joe is on your team.

Speaker 7:                                             I hereby am endorsing Joe Biden to be the next President of the United States.

Speaker 8:                                             Today I'm proud to join Joe Biden.

Julian Castro:                                         I don't think there is anybody to try and heal the country right now than Joe Biden. People trust him. They believe in him.

Speaker 9:                                             Vermont Senator Bernie Sanders has officially endorsed.

Speaker 10:                                            Two men who represent these two wings of the Democratic Party coming together.

Bernie Sanders:                                        So today I am asking all Americans to come together in this campaign to support your candidacy which I endorse.

Speaker 11:                                            Former President Barack Obama now officially off the 2020 sidelines.

Barack Obama:                                          That's why I'm so proud to endorse Joe Biden for President of the United States. Choosing Joe to be my vice president was one of the best decisions I ever made.

Speaker 12:                                            Biden picked up another major Democratic endorsement, this one from Elizabeth Warren.

Elizabeth Warre...:                                    It's up to all of us to help make Joe Biden the next President of the United States.

Speaker 13:                                            It's all coming together for Joe Biden.

Speaker 3:                                             I'm doing everything that I can and thank you for being part of doing what you can.

Kamala Harris:                                         So join me in supporting Joe and let's get this done.

Elizabeth Warre...:                                    Let's get to work. We're all in this together.

Barack Obama:                                          Now is the time to fight for what we believe in. So join us.

Speaker 14:                                            The Democratic Party has always risen to our country's greatest challenges.

Franklin Roosev...:                                    I pledge myself to a New Deal for the American people.

Speaker 14:                                            We've moved this country forward in a relentless push for progress. Progress for Americans of all walks of life, not just the privileged few.

John Kennedy:                                          [inaudible] that we stand at this frontier at a turning point of history.

Speaker 15:                                            We do not want our freedom gradually, but we want to be free now.

Speaker 14:                                            We've brought together voices from every part of America.

Barbara Jordan:                                        We are a people in a quandary about the present. We are a people in search of our future. We are attempting to fulfill our national purpose to create and sustain a society in which all of us are equal.

Speaker 14:                                            And we've made history along the way.

Barack Obama:                                          There is not a liberal America and a conservative America, there is the United States of America.

Barack Obama:                                          We must pledge once more to march into the future.

Speaker 16:                                            We are a different society than we were in 1961. Brothers and sisters, do you want to go back? Or do you want to keep America moving forward?

Speaker 17:                                            For our motto is, "When they go low, we go high."

Joe Biden:                                             We never bow, we never bend, we never break, no, we endure and we always, always, always move forward.

Speaker 14:                                            This election, we've engaged a historic number of Americans in the democratic process and now we have to overcome the odds once again to build back, better than before.

Joe Biden:                                             We lead not only by the example of our power, but by the power of our example. We are America, second to none, and we own the finish line. Don't forget it.

Speaker 14:                                            We are Democrats and we're ready to lead again. We're coming together on August 17 all across America. Be there.

Speaker 18:                                            And now, live from Milwaukee, Mayor Tom Barrett.

Tom Barrett:                                           Hi everybody. I'm Tom Barrett, the proud mayor of Milwaukee. I would love to be welcoming you to my home city right now. The good people of Milwaukee and I were so excited when we learned that our resilient city was chosen to host the 2020 Democratic National Convention. It was the first time a major political party chose Wisconsin to hold its convention, but these are not conventional times and as a result, as we all know, this is not a conventional convention, and as much as we would have loved to host you in person, I am proud that the Democratic Party and the City of Milwaukee have made the health of our residents our number one priority. Unlike the president, we've never called COVID-19 a hoax, unlike the president, we've never made fun of face masks and unlike the president, we've never belittled our public health experts. We understand why we can't be together this week and I hope you do to, and as our party comes together virtually to nominate Joe Biden to be our next president, we're showing the country that we're nominating a leader who isn't afraid to make tough choices or to work with health experts, not against them, to address this pandemic.

Tom Barrett:                                           Milwaukee is a very special place on America's Fresh Coast. I look forward to the day when you are all able to come experience our beautiful lakefront, our historic neighborhoods, and above all, our diverse, hardworking and friendly residents. But in the meantime, it is my honor to call the second session of the 48th Quadrennial National Convention of the Democratic Party to order.

Bennie Thompson:                                       Delegates, we will now hear reports from our three convention standing committees. To start us off, I'm pleased to introduce Lorraine Miller and James Roosevelt, Jr., co-chairs of the Credentials Committee to present their committee's report.

Jim Roosevelt:                                         Hello delegates to the 2020 Democratic National Convention. My name is Jim Roosevelt and it is an honor to have served as a co-chair of the Credentials Committee along with my good friend Lorraine Miller. Pursuant to the convention rules, the Credentials Committee met and took action to approve the credentials of the delegates and alternates that have been credentialed for the 2020 Democratic National Convention. I am proud to say that all credentials issues were resolved in accordance with the actions of the Credentials Committee. This year's nominating process reflects the efforts of so many to make our process more open and more transparent. As a result, we know that our delegates reflect the best of our party and we are all united around our nominees, Joe Biden and Kamala Harris.

Lorraine Miller:                                       May I add my thanks for the opportunity to serve as a co-chair of the Credentials Committee with my friend Jim Roosevelt. Our state and territorial parties have worked diligently in these unprecedented times to make sure that their delegations reflect the great diversity of our party. We are proud that our party places a priority on making sure that participants of this convention highlight a core value of our party, that is ensuring that all Americans, regardless of sex, race, age, color, creed, national origin, religion, economic status, sexual orientation, gender identity, ethnic identity, or physical disability have a role in this important process. Mr. Chair, I am pleased to report that the Credentials Committee report was approved by committee members and all delegates have been fully credentialed.

Bennie Thompson:                                       Thank you Lorraine and Jim. We will now hear from the co-chairs of the Rules Committee, Maria Cardona and Congressman Barney Frank to present that committee's report.

Maria Cardona:                                         [Spanish 00:10:41]. My name is Maria Cardona and I am so honored to serve as co-chair of the Rules and Bylaws Committee of the Democratic National Convention along with my friend and colleague Congressman Barney Frank. The Rules Committee met the last week of July to adopt the convention rules of procedure, officers, and agenda. The committee approved the rules that will govern the convention. These rules are based on a longstanding process that has governed our conventions for many, many cycles. Given the unprecedented nature of the COVID-19 health crisis, these rules that were approved focus on providing for a convention that will transform the convention experience for delegates and for participants and will allow for maximum participation by those delegates.

Maria Cardona:                                         The Rules Committee also ratified a dynamic group of Democrats to serve as the officers of the convention. The convention officers truly represent the ideals and the principles of the Democratic Party. These actions of the Rules Committee will ensure that the 2020 Democratic National Convention can efficiently and effectively proceed with its important business. The Rules Committee also took action on a resolution that was recommended for approval by convention delegates. The resolution calls on the Democratic National Committee to continue the work from this cycle to improve our nominating process and to build on those reforms for the 2024 cycle. The resolution calls on the DNC Rules Committee to conduct a comprehensive review of the presidential nominating reforms that were made and to evaluate where even further reforms might by needed. This review and accounting will be complete by March 31, 2021. Chair, I am pleased to report that the unity resolution was approved by the delegates. Thank you to the delegates, thank you to the members of the Rules and Bylaws Committee, and thank you for continuing to do everything you can to ensure we are successful in November. [Spanish 00:13:01].

Barney Frank:                                          Two things about the rules are very important to note. One, they continue and build on the trend towards making our nominating process as democratic as possible with a small d. We have asked that we go to primaries rather than caucuses, we have restricted and maintained those restrictions on unelected delegates. Secondly it's important to note that everything in these rules is the product of a very free agreement between the Sanders and Biden people as it was last time between Clinton and Sanders, that is we have a very democratic set of rules agreed upon enthusiastically by both camps.

Bennie Thompson:                                       Thank you Maria and Barney. It's my pleasure to call on Platform Committee co-chairs Julie Chavez Rodriguez and Denis McDonough to present their committee's report.

Julie Chavez Ro...:                                    Good evening. I'm Julie Chavez Rodriguez, and alongside my friend Denis McDonough, I was honored to co-chair this year's Democratic Platform Committee. This spring, the process for drafting our 2020 Democratic platform began with the formation of the unity task forces. Appointed by Vice President Biden and Senator Sanders, the task forces focused their work on six major policy priorities. Continuing the work of the task forces, the Platform Drafting Committee engaged voters and encouraged them to share their stories so that their values were reflected. The Platform Drafting Committee chaired by Mayor Keisha Lance Bottoms engaged so many throughout our party to ensure that that feedback was incorporated, whether it was received online or through allied groups.

Denis McDonough:                                       Thanks Julie. I'm Denis McDonough and I'm proud to have been Julie's co-chair on the Platform Committee. Our committee has produced a platform that proposes solutions to the challenges that American families face in this unprecedented time. It's informed by the values of our party and the priorities of our presidential nominee, Vice President Joe Biden. I strongly believe that this platform lays out an agenda, informed by the values that will defeat Donald Trump and heal the soul of our nation, the United States of America.

Bennie Thompson:                                       Thank you Julie and Denis. Thank you to all the members of all three standing committees for your important work to ensure we have a smooth and orderly convention, a platform that represents our party's values and interests, and a plan for continuing to look at how we conduct our affairs in the best spirit of openness, fairness and inclusion.

Daniel Inouye:                                         My fellow Americans, this is my country. Many of us have fought hard for the right to say that. Many are now struggling today from Harlem to Danang so that they may say this with conviction, this is our country.

Barbara Jordan:                                        We are a people in a quandary about the president. We are a people in search of our future.

Mario Cuomo:                                           We must make the American people hear our tale of two cities. We must convince them that we don't have to settle for two cities, that we can have one city, indivisible, shining for all of its people.

Ann Richards:                                          If you give us a chance, we can perform. After all, Ginger Rogers did everything that Fred Astaire did. She just did it backwards and in high heels.

Barack Obama:                                          There is not a liberal America and a conservative America, there is the United States of America. There is not a black America and a white America and Latino America and Asian America. There is the United States of America.

Julian Castro:                                         The American dream is not a sprint or even a marathon, but a relay. Our families don't always cross the finish line in the span of one generation, but each generation passes onto the next the fruits of their labor.

Barack Obama:                                          We are one people, all of us pledging allegiance to the stars and stripes. All of us defending the United States of America.

Nikki Fried:                                           Welcome.

Malcolm Kenyatt...:                                    Welcome.

Sam Park:                                              Welcome.

Victoria Neave ...:                                    To the second night -

N. Fried, S. Pa...:                                    Of the Democratic National Convention.

Denny Ruprecht:                                        This is a different kind of convention.

Marlon Kimpson:                                        Look at the camera and smile.

Mari Manoogian:                                        And this -

Conor Lamb:                                            This is a different kind of keynote.

Mari Manoogian:                                        It's a different kind of keynote.

Y. Cancela, V. ...:                                    This year -

Y. Cancela, B. ...:                                    All of us are on stage -

K. Clyde, R. Ga...:                                    And we've got a lot to say.

Jonathan Nez:                                          Let's get real. There's a lot riding on this election.

Robert Garcia:                                         When we're facing the biggest economic and health crisis in generations because our president didn't and still doesn't have a plan.

Malcolm Kenyatt...:                                    When doctors, nurses and home healthcare aides in Philadelphia have to risk their own lives to protect others because there's not enough protective equipment.

Kathleen Clyde:                                        When factory workers in Ohio are faced with dangerous conditions because this administration hasn't given clear guidance on how to protect our people.

Sam Park:                                              When teachers in Gwinnett County, Georgia and across the country are being asked to return to the classroom without a plan to keep them safe and parents are exhausted juggling full-time work and full-time childcare.

Jonathan Nez:                                          And visiting our parents and grandparents through the window of a nursing home, worrying all the time that they'll get sick.

Marlon Kimpson:                                        When unemployment in North Charleston, South Carolina, a city I represent, has risen nearly fourfold and evictions are putting families out on the street in the middle of a pandemic.

Nikki Fried:                                           Make no mistake, it didn't have to be this bad. In the early days of the virus, Donald Trump didn't listen to the experts, and then he said something that a president should never say.

Victoria Neave:                                        He said, "I don't take responsibility at all."

Speaker 19:                                            No responsibility.

Speaker 20:                                            No leadership.

Speaker 21:                                            no plan.

Speaker 22:                                            He still doesn't have a plan.

Yvanna Cancela:                                        Donald Trump just doesn't understand. We can't fix our economy until we get ahold of the virus.

Conor Lamb:                                            While working families are struggling, he's looking out for the people who are already doing just fine. The wealthy, the big corporations, the donors to his campaign.

Jonathan Nez:                                          He's looking out for himself.

Randall Woodfin:                                       If there is one person who is looking out for us -

Speaker 23:                                            All of us.

Malcolm Kenyatt...:                                    And that's Joe Biden.

Nikki Fried:                                           Joe called it. We are in a battle for the soul of our nation.

Mari Manoogian:                                        But Joe knows we can never let hard times turn us against each other.

Conor Lamb:                                            And we can never stop doing the hard work to make things right.

Speaker 24:                                            That's why we ran for office.

Speaker 25:                                            Even when people counted us out.

Yvanna Cancela:                                        Even when there had never been a Latina in the Nevada State Senate.

Nikki Fried:                                           Or a Democrat elected as Florida Commissioner of Agriculture in nearly three decades.

Sam Park:                                              Or an openly gay man in the Georgia state legislature.

Randall Woodfin:                                       When Birmingham hadn't had a mayor this young in 120 years.

Denny Ruprecht:                                        We ran for office because we know the struggles American families are facing. Because we've lived them.

Malcolm Kenyatt...:                                    We've lived the insecurity and the indignity of an eviction notice.

Robert Garcia:                                         I like many of you have lived the frustration of paying off student loans.

Randall Woodfin:                                       We have lived the grief of losing loved ones to gun violence and the criminal justice system that unfairly targets our communities.

Sam Park:                                              We have lived that feeling of helplessness when someone you love is very sick and access to healthcare is a matter of life and death.

Colin Allred:                                          By the way, Joe Biden has lived a lot of this too.

B. Boyle, C. Al...:                                    He was raised in a middle class family in Scranton, Pennsylvania and Claymont, Delaware.

Speaker 26:                                            He watched his dad look for work and learned that a job is about so much more than a paycheck. It's about dignity and respect.

Speaker 27:                                            He was sworn into office from the hospital room of his two young sons after a car crash killed his wife and infant daughter.

Nikki Fried:                                           He knows what it's like to thank God you have healthcare.

Brendan Boyle:                                         He knows what it's like to work hard for everything you've got.

Conor Lamb:                                            He knows what it's like to send a child off to war.

Victoria Neave:                                        And he'll never forget who he's fighting for.

Colin Allred:                                          I look around my district in North Texas and I see the people who built this country. The educators, like the single mom who raised me, the men and women on the frontlines of our healthcare system. You built this country.

Mari Manoogian:                                        Small business owners like the ones whose shops and restaurants line the streets of Birmingham, Michigan.

Marlon Kimpson:                                        Charleston, South Carolina.

Jonathan Nez:                                          Of tribal nations.

Malcolm Kenyatt...:                                    Line the streets of Philadelphia and bring our communities to life. You built this country.

Raumesh Akbari:                                        The nurses in Memphis who came out of retirement to treat patients during this pandemic. You built this country.

Robert Garcia:                                         And you know what? You deserve more than the constant chaos that Donald Trump delivers.

Brendan Boyle:                                         You deserve healthcare you can afford, a job that pays you fairly. You deserve child care and paid sick leave while you work and when you pay into Social Security and Medicare, you deserve to know it will be there when you retire.

S. Park, D. Rup...:                                    And that's why we ran.

Jonathan Nez:                                          Thanks to the voters across the country in both red states and blue states -

N. Fried, M. Ki...:                                    We won.

Malcolm Kenyatt...:                                    A new generation of leaders is rising up.

Conor Lamb:                                            And with Joe Biden in the White House, there is no limit to what we can do.

Yvanna Cancela:                                        In Nevada, we're making drug prices more transparent so people with chronic illnesses won't go broke while drug companies get rich.

Colin Allred:                                          Joe's working to protect and expand the Affordable Care Act to make sure millions of people keep their coverage and no one can be denied for a pre-existing condition. To bring down the costs of healthcare and prescription drugs too, giving tax credits to working families and allowing Medicare to negotiate drug prices.

Mari Manoogian:                                        That's a big effing deal.

M. Kenyatta, V....:                                    That's a big effing deal.

Kathleen Clyde:                                        Because Joe knows we can't have a healthy economy if people can't afford healthcare.

Brendan Boyle:                                         Let's remember, Donald Trump is suing to take healthcare coverage away from more than 20 million Americans and eliminate protections for over 100 million with pre-existing conditions -

S. Park, Y. Can...:                                    In thee middle of a pandemic.

Victoria Neave:                                        In Texas, we're standing up for fierce women like my mom and my [inaudible] who raised me to never back down from a tough fight. So we're fighting to make sure that mothers have access to health screenings for safe pregnancies and childbirth and we're bringing long overdue justice to survivors of sexual assault.

Raumesh Akbari:                                        Joe Biden has been fighting for women his entire career. As senator, he authored the Violence Against Women Act, and as president, he'll restore funding for Planned Parenthood, he will codify Roe v. Wade, and make reducing maternal mortality especially for women of color a top priority.

Nikki Fried:                                           In Florida, on the frontlines of our climate crisis, we're working to produce more renewable energy and shrink our carbon footprint.

Jonathan Nez:                                          Joe has a major plan to invest in clean energy jobs and infrastructure.

Brendan Boyle:                                         In the House of Representatives, we're closing loopholes to ensure local infrastructure projects use American-made materials and local labor and support American manufacturing.

Yvanna Cancela:                                        Unlike Donald Trump, Joe Biden will actually enforce buy American rules, investing in American-made clean energy, building materials, high tech equipment and R&D, all creating more good jobs.

Mari Manoogian:                                        In Michigan, we're banning business practices that have exploited workers and cost them hundreds of millions of dollars in lost wages.

Marlon Kimpson:                                        When unemployment is the highest rate since the Great Depression, when millions of people have seen their hours and pay slashed, Joe knows it's not enough to rebuild the economy the way it was before. We've got to build it back better.

Brendan Boyle:                                         He'll build an economy that rewards work, not wealth, and get rid of the Trump tax cuts that only benefit big corporations and the rich, and then he'll invest in healthcare, education and infrastructure, and in getting small businesses up and running again.

Conor Lamb:                                            Take it from me, when you're in the trenches, you want Joe Biden right there next to you.

Malcolm Kenyatt...:                                    When I wanted to marry the man I loved, Joe Biden was the first national figure to support me and my family.

