Last,First,Filename,Day,Type,Convention,Source,URL
McCain,John,rnc.mccainjohn.txt,4-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94302894
McCain,Cindy,rnc.mccaincindy.txt,3-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94301516
Giuliani,Rudy,rnc.giuliani.txt,3-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94254610
Huckabee,Mike,rnc.huckabee.txt,3-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94256318
Romney,Mitt,rnc.romney.txt,3-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94254989
Bush,George,rnc.bushgeorge.txt,3-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94215430
Thompson,Fred,rnc.thompson.txt,3-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94215026
Graham,Lindsey,rnc.graham.txt,4-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94303964
Lieberman,Joseph,rnc.lieberman.txt,3-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94213979
Palin,Sarah,rnc.palin.txt,3-Sep,Speech,RNC,NPR,https://www.npr.org/templates/story/story.php?storyId=94258995
