Last,First,Filename,Day,Type,Source,Convention
Baio,Scott,rnc.baio.txt,Monday,speech,Macleans,RNC
Trump,Melania,rnc.trumpmelania.txt,Monday,speech,Time,RNC
Giuliani,Rudy,rnc.giuliani.txt,Monday,speech,NY Times,RNC
Sessions,Jeff,rnc.sessions.txt,Monday,speech,WBRC,RNC
Flynn,Michael,rnc.flynn.txt,Monday,speech,Time,RNC
Ernst,Joni,rnc.ernst.txt,Monday,speech,Ottumwa Radio,RNC
Robertson,Willie,rnc.robertson.txt,Monday,speech,Cision,RNC
Perry,Rick,rnc.perry.txt,Monday,speech,Cision,RNC
Luttrell,Marcus,rnc.luttrell.txt,Monday,speech,Cision,RNC
Smith,Pat,rnc.smithpat.txt,Monday,speech,Cision,RNC
Geist,Mark,rnc.geist.txt,Monday,speech,Cision,RNC
Sabato,Antonio,rnc.sabato.txt,Monday,speech,Cision,RNC
McCaul,Mike,rnc.mccaul.txt,Monday,speech,Cision,RNC
Clarke,David,rnc.clarke.txt,Monday,speech,Cision,RNC
Cotton,Tim,rnc.cotton.txt,Monday,speech,Cision,RNC
Beardsley,Jason,rnc.beardsley.txt,Monday,speech,Cision,RNC
Zinke,Ryan,rnc.zinke.txt,Monday,speech,Cision,RNC
Ryan,Paul,rnc.ryan.txt,Tuesday,speech,Time,RNC
Carson,Ben,rnc.carson.txt,Tuesday,speech,Time,RNC
Trump Jr,Donald,rnc.trumpjr.txt,Tuesday,speech,Time,RNC
Christie,Chris,rnc.christie.txt,Tuesday,speech,Time,RNC
McCarthy,Kevin,rnc.mccarthy.txt,Tuesday,speech,23ABC News,RNC
McConnell,Mitch,rnc.mcconnell.txt,Tuesday,speech,Politico,RNC
Trump,Tiffany,rnc.trumptiffany.txt,Tuesday,speech,Time,RNC
Day,Sharon,rnc.day.txt,Tuesday,speech,Cision,RNC
White,Dana,rnc.white.txt,Tuesday,speech,Cision,RNC
Hutchinson,Asa,rnc.hutchinson.txt,Tuesday,speech,Cision,RNC
Rutledge,Leslie,rnc.rutledge.txt,Tuesday,speech,Cision,RNC
Mukasey,Michael,rnc.mukasey.txt,Tuesday,speech,Cision,RNC
Wist,Andy,rnc.wist.txt,Tuesday,speech,Cision,RNC
Johnson,Ron,rnc.johnson.txt,Tuesday,speech,Cision,RNC
Cox,Chris,rnc.cox.txt,Tuesday,speech,Cision,RNC
Gulbis,natalie,rnc.gulbis.txt,Tuesday,speech,Cision,RNC
Sullivan,Dana,rnc.sullivandan.txt,Tuesday,speech,Cision,RNC
Woolard,Kerry,rnc.woolard.txt,Tuesday,speech,Cision,RNC
Capito,Shelly,rnc.capito.txt,Tuesday,speech,Cision,RNC
Brown,Kimberlin,rnc.brownkim.txt,Tuesday,speech,Cision,RNC
Cruz,Ted,rnc.cruz.txt,Wednesday,speech,Time,RNC
Trunp,Eric,rnc.trumperic.txt,Wednesday,speech,Bustle,RNC
Gingrich,Newt,rnc.gingrich.txt,Wednesday,speech,Time,RNC
Walker,Scott,rnc.walker.txt,Wednesday,speech,Fox6,RNC
Pence,Mike,rnc.pence.txt,Wednesday,speech,Time,RNC
Scott,Rick,rnc.scott.txt,Wednesday,speech,Cision,RNC
Ingrham,Laura,rnc.ingrham,Wednesday,speech,Cision,RNC
Ruffin,Rhil,rnc.ruffin.txt,Wednesday,speech,Cision,RNC
Bondi,Pam,rnc.bondi.txt,Wednesday,speech,Cision,RNC
Collins,Eileen,rnc.collins.txt,Wednesday,speech,Cision,RNC
Van Etten,Michelle,rnc.etten.txt,Wednesday,speech,Cision,RNC
Alvarado,Ralph,rnc.alvarado.txt,Wednesday,speech,Cision,RNC
Scott,Darrell,rnc.scottdarrell.txt,Wednesday,speech,Cision,RNC
Hamm,Harold,rnc.hamm.txt,Wednesday,speech,Cision,RNC
Trump,Donald,rnc.trumpdonald.txt,Thursday,speech,Politico,RNC
Trump,Ivanka,rnc.trumpivanka.txt,Thursday,speech,Time,RNC
Priebus,Reince,rnc.priebus.txt,Thursday,speech,The Hill,RNC
Rubio,Marxo,rnc.rubio.txt,Thursday,video,Tampa Bay Times,RNC
Mealer,Brock,rnc.mealer.txt,Thursday,speech,Cision,RNC
Blackburn,Marsha,rnc.blackburn.txt,Thursday,speech,Cision,RNC
Fallin,Mary,rnc.fallin.txt,Thursday,speech,Cision,RNC
Shin,Lisa,rnc.shin.txt,Thursday,speech,Cision,RNC
Falwell,Jerry,rnc.falwell.txt,Thursday,speech,Cision,RNC
Thiel,Peter,rnc.thiel.txt,Thursday,speech,Cision,RNC
Burns,Mark,rnc.burns.txt,Thursday,speech,Cision,RNC
Barrack,Tom,rnc.barrack.txt,Thursday,speech,Cision,RNC
Tarkenton,Fran,rnc.tarkenton.txt,Thursday,speech,Cision,RNC
Perkins,Tony,rnc.perkins.txt,Thursday,speech,Cision,RNC
